month,day,location
4,30,"London"
5,1,"London to Paris"
5,2,"Paris"
5,3,"Paris to Beaujolais"
5,4,"Beaujolais"
5,5,"Beaujolais to Nice"
5,6,"Nice"
5,7,"Nice to Florence"
5,8,"Florence to Rome"
5,9,"Rome"
5,10,"Rome to Sorrento"
5,11,"Sorrento to Corfu"
5,12,"Corfu"
5,13,"Corfu"
5,14,"Corfu"
5,15,"Corfu to Venice"
5,16,"Venice"
5,17,"Venice"
5,18,"Venice to Vienna"
5,19,"Vienna"
5,20,"Vienna to Prague"
5,21,"Prague"
5,22,"Prague to Munich"
5,23,"Munich to Tyrol"
5,24,"Tyrol to Swiss Alps"
5,25,"Swiss Alps"
5,26,"Swiss Alps to Rhine Valley"
5,27,"Rhine Valley to Amsterdam"
5,28,"Amsterdam"
5,29,"Amsterdam to London"
5,30,"London"
5,31,"London"
6,1,"London"
6,2,"London"
6,3,"London"
6,4,"London"
6,5,"London"
6,6,"London"
6,7,"London"
6,8,"London"
